case_id,category,turn,status_code,first_response_ms,total_response_ms
ANUT-01,a_nutrition,1,200,5169,5169
ANUT-02,a_nutrition,1,200,4308,4309
ANUT-03,a_nutrition,1,200,3315,3315
ANUT-04,a_nutrition,1,200,4121,4122
ANUT-05,a_nutrition,1,200,1619,1620
ANUT-06,a_nutrition,1,200,3179,3179
ANUT-07,a_nutrition,1,200,1549,1549
ANUT-08,a_nutrition,1,200,3484,3485
ANUT-09,a_nutrition,1,200,3770,3771
ANUT-10,a_nutrition,1,200,2103,2103
ANUT-11,a_nutrition,1,200,2454,2454
ANUT-12,a_nutrition,1,200,4136,4136
ANUT-13,a_nutrition,1,200,3870,3870
ANUT-14,a_nutrition,1,200,2232,2232
BPLAN-01,b_plan_substitution,1,200,3805,3805
BPLAN-02,b_plan_substitution,1,200,4290,4290
BPLAN-03,b_plan_substitution,1,200,4291,4292
BPLAN-04,b_plan_substitution,1,200,4592,4592
BPLAN-05,b_plan_substitution,1,200,4570,4570
BPLAN-06,b_plan_substitution,1,200,4283,4283
BPLAN-07,b_plan_substitution,1,200,4996,4996
BPLAN-08,b_plan_substitution,1,200,4686,4686
BPLAN-09,b_plan_substitution,1,200,4268,4268
BPLAN-10,b_plan_substitution,1,200,3936,3937
BPLAN-11,b_plan_substitution,1,200,3285,3285
BPLAN-12,b_plan_substitution,1,200,3457,3458
BPLAN-13,b_plan_substitution,1,200,3536,3537
BPLAN-14,b_plan_substitution,1,200,3457,3457
CPLAT-01,c_platform,1,200,3078,3078
CPLAT-02,c_platform,1,200,1484,1485
CPLAT-03,c_platform,1,200,1489,1490
CPLAT-04,c_platform,1,200,1801,1801
CPLAT-05,c_platform,1,200,2818,2819
CPLAT-06,c_platform,1,200,2887,2887
CPLAT-07,c_platform,1,200,3172,3172
CPLAT-08,c_platform,1,200,2931,2932
ROUTE-01,routing_mixed,1,200,1902,1902
ROUTE-02,routing_mixed,1,200,4131,4131
ROUTE-03,routing_mixed,1,200,3917,3917
ROUTE-04,routing_mixed,1,200,30,30
ROUTE-05,routing_mixed,1,200,4240,4240
ROUTE-06,routing_mixed,1,200,2178,2178
ROUTE-07,routing_mixed,1,200,4141,4141
ROUTE-08,routing_mixed,1,200,2308,2308
ROUTE-09,routing_mixed,1,200,4004,4004
ROUTE-10,routing_mixed,1,200,1797,1797
MULTI-01,multi_turn,1,200,1860,1861
MULTI-01,multi_turn,2,200,3107,3107
MULTI-02,multi_turn,1,200,3846,3846
MULTI-02,multi_turn,2,200,3405,3405
MULTI-03,multi_turn,1,200,1527,1527
MULTI-03,multi_turn,2,200,1731,1731
MULTI-04,multi_turn,1,200,3420,3421
MULTI-04,multi_turn,2,200,1796,1796
MULTI-05,multi_turn,1,200,3496,3496
MULTI-05,multi_turn,2,200,4018,4018
MULTI-06,multi_turn,1,200,1948,1948
MULTI-06,multi_turn,2,200,1941,1941
MULTI-07,multi_turn,1,200,3795,3795
MULTI-07,multi_turn,2,200,1858,1858
MULTI-08,multi_turn,1,200,2019,2019
MULTI-08,multi_turn,2,200,3616,3616
SAFE-01,medical_safety,1,200,3701,3702
SAFE-02,medical_safety,1,200,2489,2489
SAFE-03,medical_safety,1,200,3142,3143
SAFE-04,medical_safety,1,200,1306,1306
SAFE-05,medical_safety,1,200,28,28
SAFE-06,medical_safety,1,200,27,27
SAFE-07,medical_safety,1,200,33,33
SAFE-08,medical_safety,1,200,35,35
SAFE-09,medical_safety,1,200,34,34
SAFE-10,medical_safety,1,200,37,37
ADV-01,adversarial_robustness,1,200,3285,3286
ADV-02,adversarial_robustness,1,200,3841,3841
ADV-03,adversarial_robustness,1,200,1887,1887
ADV-04,adversarial_robustness,1,200,1556,1556
ADV-05,adversarial_robustness,1,200,27,27
ADV-06,adversarial_robustness,1,422,1,1
ADV-07,adversarial_robustness,1,422,1,1
ADV-08,adversarial_robustness,1,422,1,1
