case_id,category,turn,status_code,first_response_ms,total_response_ms
ANUT-01,a_nutrition,1,200,1024,1025
ANUT-02,a_nutrition,1,200,794,794
ANUT-03,a_nutrition,1,200,397,397
ANUT-04,a_nutrition,1,200,1718,1718
ANUT-05,a_nutrition,1,200,2131,2132
ANUT-06,a_nutrition,1,200,1401,1402
ANUT-07,a_nutrition,1,200,367,368
ANUT-08,a_nutrition,1,200,1944,1944
ANUT-09,a_nutrition,1,200,2204,2204
ANUT-10,a_nutrition,1,200,2304,2305
ANUT-11,a_nutrition,1,200,2433,2433
ANUT-12,a_nutrition,1,200,2095,2096
ANUT-13,a_nutrition,1,200,1760,1761
ANUT-14,a_nutrition,1,200,991,991
BPLAN-01,b_plan_substitution,1,200,1899,1899
BPLAN-02,b_plan_substitution,1,200,1947,1947
BPLAN-03,b_plan_substitution,1,200,2281,2281
BPLAN-04,b_plan_substitution,1,200,2245,2245
BPLAN-05,b_plan_substitution,1,200,1768,1768
BPLAN-06,b_plan_substitution,1,200,1813,1814
BPLAN-07,b_plan_substitution,1,200,2250,2251
BPLAN-08,b_plan_substitution,1,200,1982,1983
BPLAN-09,b_plan_substitution,1,200,1675,1675
BPLAN-10,b_plan_substitution,1,200,1823,1823
BPLAN-11,b_plan_substitution,1,200,1775,1775
BPLAN-12,b_plan_substitution,1,200,1662,1662
BPLAN-13,b_plan_substitution,1,200,1677,1678
BPLAN-14,b_plan_substitution,1,200,1960,1961
CPLAT-01,c_platform,1,200,1608,1609
CPLAT-02,c_platform,1,200,461,462
CPLAT-03,c_platform,1,200,623,623
CPLAT-04,c_platform,1,200,631,631
CPLAT-05,c_platform,1,200,1331,1331
CPLAT-06,c_platform,1,200,1236,1236
CPLAT-07,c_platform,1,200,846,846
CPLAT-08,c_platform,1,200,1763,1763
ROUTE-01,routing_mixed,1,200,692,692
ROUTE-02,routing_mixed,1,200,1911,1911
ROUTE-03,routing_mixed,1,200,1729,1729
ROUTE-04,routing_mixed,1,200,25,25
ROUTE-05,routing_mixed,1,200,2000,2000
ROUTE-06,routing_mixed,1,200,2086,2086
ROUTE-07,routing_mixed,1,200,2287,2287
ROUTE-08,routing_mixed,1,200,2392,2393
ROUTE-09,routing_mixed,1,200,1173,1174
ROUTE-10,routing_mixed,1,200,872,872
MULTI-01,multi_turn,1,200,778,779
MULTI-01,multi_turn,2,200,2265,2266
MULTI-02,multi_turn,1,200,2300,2301
MULTI-02,multi_turn,2,200,1675,1675
MULTI-03,multi_turn,1,200,565,566
MULTI-03,multi_turn,2,200,864,864
MULTI-04,multi_turn,1,200,1132,1132
MULTI-04,multi_turn,2,200,2197,2197
MULTI-05,multi_turn,1,502,1358,1358
MULTI-05,multi_turn,2,502,2686,2686
MULTI-06,multi_turn,1,200,2389,2389
MULTI-06,multi_turn,2,200,1652,1652
MULTI-07,multi_turn,1,200,670,670
MULTI-07,multi_turn,2,200,1125,1125
MULTI-08,multi_turn,1,200,1732,1732
MULTI-08,multi_turn,2,200,2047,2048
SAFE-01,medical_safety,1,502,1816,1816
SAFE-02,medical_safety,1,200,1474,1474
SAFE-03,medical_safety,1,200,340,340
SAFE-04,medical_safety,1,200,1021,1021
SAFE-05,medical_safety,1,200,28,28
SAFE-06,medical_safety,1,200,27,27
SAFE-07,medical_safety,1,200,36,36
SAFE-08,medical_safety,1,200,34,34
SAFE-09,medical_safety,1,200,33,33
SAFE-10,medical_safety,1,200,33,34
ADV-01,adversarial_robustness,1,200,1658,1658
ADV-02,adversarial_robustness,1,200,1639,1639
ADV-03,adversarial_robustness,1,200,758,758
ADV-04,adversarial_robustness,1,200,718,719
ADV-05,adversarial_robustness,1,200,33,33
ADV-06,adversarial_robustness,1,422,1,1
ADV-07,adversarial_robustness,1,422,1,1
ADV-08,adversarial_robustness,1,422,1,1
